label,feature
O,本アプリケーションは、加盟店情報データベースと整合させなければならない。加盟店情報データベースは、加盟店に関する詳細情報を提供する。すべての加盟店詳細情報は、加盟店情報データベースから取得しなければならない。
O,本アプリケーションは、Lettersアプリケーションと連動しなければならない。これにより、異議申し立て申請は、異議申し立ての開始及び異議申し立てのフォローアッププロセスの一環として書類を要求することができる。すべての書類リクエストは、Print Letter Utility アプリケーションに送信する必要がある。
O,本アプリケーションは、カード会員の明細および請求システムと連動しなければならない。これにより、異議申し立て管理アプリケーションはカード会員と加盟店のアカウントの支払い情報の修正を要求することができる。すべての加盟店の情報修正リクエストは、カード会員の明細および請求システムに送信する必要がある。
SE,本アプリケーションは、適切なアクセスレベルを持つユーザのみが異議申し立てリクエストを開始できるようにしなければならない。
SE,本アプリケーションは、更新アクセス権を持つユーザのみが異議申し立てリクエストを作成することができる。
SE,本アプリケーションは、許可されたユーザのみがアプリケーションにログオンできるようにしなければならない。
SE,本アプリケーションは、認証されたすべてのユーザは一度認証されれば異議申し立て管理システムにログオンできなければならない。
SE,本アプリケーションは、追加された新しいユーザと既存のユーザーのアクセスレベルへの変更を詳述するユーザーレポートを生成しなければならない。レポートは監査目的でレビューされる。
SE,本アプリケーションにおいて、新規ユーザの追加およびユーザアクセスの変更はすべて、ユーザレポートに記録されなければならない。
SE,本アプリケーションにおいて、ユーザアカウントが取り消された場合、システム管理者のみが再インスタンス化できるものとする。
SE,本アプリケーションにおいて、取り消されたユーザログオンアカウントをリセットできるのは、システム管理者のみでなければならない。
SE,本アプリケーションは、ビジネスデータを操作および表示するものとする。ユーザはデータファイルやデータベースに直接アクセスできないものとする。
SE,本アプリケーションにおいて、データファイルまたはデータベースのすべての更新は、異議申し立て管理システムから行う必要がある。
L,本アプリケーションにおいて、異議申立書は、加盟店運営規定で指定されている法的要因に準拠しなければならない。
L,本システムで指定されているすべてのビジネスルールは、加盟店運営規定に準拠しなければならない。
L,本アプリケーションは、クレジットカードの異議申し立て処理を管理する規定Eおよび規定Zで指定された法的要因に準拠しなければならない。
L,本システムで指定されているすべてのビジネスルールは、加盟店運営規定に準拠するものとする。
L,本アプリケーションは、ユーザが異議申し立て案件に対して実行するすべてのアクションの詳細な履歴を保持する必要がある。これにより、後に特定の異議申し立て案件に関して質問事項が生じた場合、完全な監査証跡が確保される。
L,本アプリケーションにおいて、既存の異議申し立て案件を修正するすべての行動は、案件履歴に記録されなければならない。
F,本システムは、内部ユーザと外部ユーザの両方がアクセスできる必要があります。
F,本システムは、ユーザが自分のカード会員ベースに属さない異議申し立て案件にアクセスできないようにする必要がある。
F,本システムは、ユーザへのリアルタイムな応答をサポートするユーザインターフェースを介して異議申し立て案件データの直接入力を容易にする。
F,本システムは、異議申し立て案件の作成とフォローアップアクションに関して、様々なレベルのアクセスを提供する必要がある。
F,本システムは、アプリケーションの許可されたユーザにビューアクセス機能を提供しなければならない。
F,本システムは、アプリケーションの許可されたユーザに更新アクセス機能を提供しなければならない。
F,本システムは、ユーザがユーザインターフェイスから異議のある取引（取引の経過時間に基づく）を選択し、選択した取引で異議申し立て（チケット取得要求またはチャージバック通知）を開始できるようにする必要がある。
F,本システムは、単一の加盟店に属する複数のトランザクションに対して、単一の異議申し立て案件を開始する機能をユーザに提供する必要がある。
F,本システムは、チケット取得リクエストを作成または開始する機能をユーザに提供する。チケット取得作成プロセスの一部として、システムは、チケット取得要求を作成するために必要なすべての情報を入力するようにユーザに促す必要がある。チケット取得リクエストは、トランザクションの有効性を問い合わせるために加盟店に送信されるドキュメントである。
F,本システムでは、ユーザが3つの固有のタイプのチケット取得リクエストを作成できるようにする必要がある。チケット取得リクエストには、（1）オリジナルレシートのリクエスト（2）レシートのコピーのリクエストまたは（3）ポートフォリオのリクエストの3種類がある。ポートフォリオは、レンタカー代理店から受け取った領収書以上の文書など、購入の証拠を提供する文書で構成される。
F,本システムは、外部ユーザが元の領収書を要求できないようにする必要がある。元の領収書のリクエストは、内部ユーザに制限される必要がある。
F,本システムは、チケット取得リクエストの作成時にユーザに以下の情報を含む確認書を提供しなければならない。異議申し立て案件番号、依頼されたリクエストのタイプ（オリジナルまたはポートフォリオのコピー）および加盟店の回答期限。
F,本システムは、ユーザが払い戻しリクエストを作成または開始できるようにしなければならない。本システムは、払い戻しリクエストを開始するために必要な情報を入力するようユーザに促す必要がある。払い戻しリクエストの結果、異議申し立てされたトランザクションが有効であるという証拠が提供されない場合、その加盟店のアカウントが払い戻しされることを示す払い戻し通知が加盟店に送信され、表示される。
F,本システムは、払い戻しリクエストの作成時にユーザに以下の情報を含む確認書を提供しなければならない。異議申し立て案件番号、払い戻しリクエストのタイプ（保留中または即時）および加盟店の回答期限。
F,本システムは、重複する異議申し立てリクエストの作成を100％防止しなければならない。
F,本システムは、特定の取引について想定される原因コードのリストを正確に提供しなければならない。想定される原因コードのリストは、異議申し立て管理システムに定義されたビジネスルールに従って、取引のタイプと加盟店が属する業界に基づいて導出する必要がある。
F,本システムは、既存の異議申し立て案件を表示する機能を提供しなければならない。
F,本システムは、検索機能を提供する必要がある。検索方法としては、（1）異議申し立て案件番号（2）加盟店口座番号（3）カード会員口座番号（4）発行者番号で検索が可能であること。上記の条件に加えて、検索機能では、ユーザが検索結果を日付範囲（チケット取得リクエストなたは払い戻し通知）、ケースステータス（オープン、クローズまたはすべて）および異議申し立て理由によって検索結果を制限できるようにする必要がある。
F,本システムにおいて、入力した検索条件を満たすすべての異議申し立て案件のリストをユーザに提供する必要がある。案件のリストでは、案件の種類やステータスを色分けして表示する必要がある。例えば、未解決の案件はすべて黄色、解決済みの案件はすべて灰色となる。
F,本システムは、異議申し立て案件で発生したすべてのアクティビティの履歴を表示する機能をユーザに提供しなければならない。
F,本システムは、フォローアップアクションによって異議申し立て案件をフォローアップする機能をユーザに提供しなければならない。ある異議申し立て案件に対して利用可能なフォローアップアクションのリストは、その案件のステータスとユーザのアクセスレベルによってフィルタリングする必要がある。
F,本システムは、ユーザの名前と、システム内の異議申し立て案件を作成または変更するアクティビティの日付を記録しなければならない。監査の目的で、日付とアクションを実行したユーザを含む、案件で実行されたアクションの詳細な履歴を維持する必要がある。
F,本システムにおいて、異議申し立てのエージングプロセスなどの案件で発生した体系的な（ユーザーが開始したものではない）アクションの場合、ケースアクティビティが生成される。次回のログオン時に、異議申し立てを開始したユーザに、異議申し立てで体系的なアクションが発生したことを通知する必要がある。
F,本システムにおいて、すべてのレターリクエストは、Print Letter Utility システムで指定されたガイドラインにしたがってフォーマットする必要がある。
F,本システムにおいて、6か月以上クローズされた異議申し立て案件は、オンライン異議申し立てデータベースから削除する必要がある。
O,本製品は、Internet Explorer 5.5以上に対応すること。
O,本製品はMozilla Firefox 1.0以上に対応すること。
O,本製品は、Choice Parts Systemとの整合性を保つこと。これにより、リサイクルパーツのデータのfeed情報を提供すること。
O,本製品は、すべての環境の既存のハードウェア上で動作すること。
O,本製品は、企業のアーキテクチャガイドラインに準拠すること。
LF,本製品は、企業のユーザインタフェースガイドラインに準拠すること。
LF,本製品は、企業のカラースキームに準拠すること。
LF,本製品の外観は、プロフェッショナルであること。
US,本製品は、アジャスターと修理費見積もり担当者によって使いやすいものでなければならない。アジャスターと修理費見積もり担当者の95％は、製品が使いやすいと感じるようにすること。
US,本製品を使用することで、修理費見積もり担当者の生産性が向上すること。本製品を使用してから1ヶ月以内に、80％の修理費見積もり担当者が生産性が向上したと同意すること。
US,ユーザが本製品を使用して満足を感じること。全体の85％のユーザが、本製品に満足すること。
US,本製品は、アジャスターと修理費見積もり担当者が容易に習得できるものであること。本製品は、2日間のオンサイトトレーニングで習得できるものであること。
US,ユーザは、本製品の使用中に、説明書を容易に見つけることができること。ユーザ向けのヘルプは、システムの90％の範囲内で見つけられること。
PE,リサイクル部品の検索は15秒以内であること。検索結果が15秒以内に返ってくること。
PE,優先修理施設の検索は8秒以内に行うこと。8秒以内に、優先修理施設が返されること。
PE,リサイクル部品の監査報告は、10秒以内にユーザに返却されること。監査報告書は10秒以内に返却されること。
PE,優先修理施設の評価は5秒以内に保存されること。保存は5秒以内に行われるものとする。
A,本製品は、企業のオンライン可用性スケジュールを遵守すること。本アプリケーションは、可用性スケジュールに基づいて予定された停止時間の98％以内でのみ停止される。
A,本製品は、98%のuptime（稼働時間）を達成すること。本製品は、利用可能なオンライン時間の2％を超えて故障しないこと。
SC,本製品は、最大1500人の同時ユーザを扱える製品であること。本製品は、一度に1500人のユーザでパフォーマンスを発揮すること。
SC,"1日あたりのリサイクル部品記録数は、平均50,000個とする。"
SC,"本製品は、最初の発売から2年以内に、10,000人の同時使用ユーザを扱えること。"
O,修理工場の汚れや騒音の中において、見積もり担当者は、本製品を操作できること。
O,本製品は、1日1回、午前1時頃にChoicePartsシステムと整合性をとること。
O,本製品のメンテナンスは、企業が定めたメンテナンスウィンドウの範囲内で行われること。
O,本製品は、コーポレートサポートセンターを利用してサポートを受けることができること。
O,本製品のインストールとアップグレードは、定められた発売期間内に、ミドルウェア技術チームが行うこと。
SE,アジャスターのみがリサイクルパーツ監査レポートを要求する権限を持つこと。アジャスターの役割を持たないユーザは、リサイクルパーツの監査を要求することはできない。
SE,管理者の役割をもつアジャスターのみが優先修理施設の格付けを更新できること。管理者の役割を持たないユーザは、修理施設の評価にアクセスできない。
SE,修理費見積もり担当者のみがリサイクル部品の検索を行うものとする。修理費見積もり担当者の役割を持たないユーザは、リサイクル部品の検索にアクセスしてはならない。
SE,有効なデータのみをシステムに入力すること。無効なデータを入力してはならない。
SE,ある保険会社が他の保険会社の請求データを閲覧することはできない。
SE,本製品には、コンピュータウイルスが混入しないこと。
SE,本システムは、サービス妨害を含む悪意のある攻撃を防ぐことができること。
L,本製品は、Sarbanes-Oxley法に準拠していること。
L,本製品は、再生部品の使用に関する推定法に準拠していること。
L,本製品は、保険金請求処理に関する保険規制に準拠していること。
F,ユーザは、車両の位置と半径（マイル）を使って、希望する修理施設を検索すること。
F,車両データには、車両の年式、メーカー、モデルが含まれること。
F,車両の位置には、住所、都市名、州名、郵便番号が含まれること。
F,本システムは、郵便番号が不明な場合、住所の市と州の郵便番号を特定する。
F,本システムの検索半径は1～30マイルとする。
F,本システムは、入力された基準に対して最も高い評価を得ている優先的な修理工場を見つけること。
F,アジャスターは、見積もりの割り当ての際に、希望する修理箇所を入力するものとする。
F,アジャスターは、見積もりの際に優先する修理項目を変更できるものとする。
F,望ましい修理項目がユーザに提示されるものとする。
F,本システムは、望ましい修理項目が決定できない場合、半径内の修理項目のリストを返すものとする。
F,見積もり担当者は、損傷した車両の部品情報を用いて、利用可能なリサイクル部品を検索するものとする。
F,見積り担当者は、優先部品サプライヤーのリストを用いて、利用可能なリサイクル部品を検索するものとする。
F,本システムは、供給された車両部品とサプライヤーに対して、利用可能なリサイクル部品を検索するものとする。
F,見積もり担当者は、のぞましい部品供給会社の部品が見つからない場合、半径30マイルの郵便番号で検索するものとする。
F,本システムは、検索によって返された利用可能なリサイクル部品とサプライヤの情報を、保持すること。
F,利用可能なリサイクル部品の情報とその供給者をユーザにリターンすること。
F,見積もり担当者は、選択したリサイクル部品を修理費見積もりに適用する。
F,見積もり担当者は、利用可能な部品が返されない場合、リサイクル部品を修理費見積もりに適応してはならない。
F,アジャスターは、修理費見積もりを確認するものとする。
F,アジャスターは、修理費見積もりのリサイクル部品監査を要求するものとする。
F,見積もり担当者に提供されたリサイクル部品の検索結果は、本システムによって取得されるものとする。
F,本システムは、利用可能なリサイクル部品と修理費見積もりに基づいて、監査レポートを作成するものとする。
F,監査報告書には、見積りに使用したリサイクル部品の総数を記載すること。
F,監査報告書には、最初の検索結果から利用可能なリサイクル部品の数を記載する。
F,監査報告書には、見積りに使用された利用可能な再生部品の割合を記載すること。
F,監査報告書には、個々の項目を合計した監査の総得点を記載する。
F,監査報告書をユーザに表示すること。
F,監査報告書は、後の時点で他のアジャスターが利用できるものとする。
F,ユーザは、優先する修理項目の見積もり額を表示するように選択する。
F,現在の修理項目の見積もり額をユーザに表示すること。
F,本システムは、評価がまだ定まっていない場合は空白のセットを表示する。
F,ユーザは、監査報告書に基づいて新しい評価を入力するものとする。
F,評価は、1～10の段階で行う。
F,評価には、リサイクル部品の仕様を試みた場合と、実際に使用した場合のカテゴリが含まれていること。
F,ユーザは、希望する修理項目の評価を保存するように選択するものとする。
F,優先修理項目の評価は、システムに保存されるものとする。
O,本製品は、市販されているほとんどのデータベース管理システム（DBMS）に対応しており、DBMSが本製品と同じマシンに設置されていても、コンピュータネットワーク上の別のマシンに設置されていても動作すること。
O,本製品は、JavaランタイムがインストールできるすべてのOS上で、サーバーソフトウェアと一緒に機能すること。
O,本製品は、データベース管理システム（DBMS）との連携が必要である。DBMSは、製品と同じマシン上にあっても、同じコンピュータネットワーク上にある別のマシン上にあっても動作すること。
O,本製品は、Web/アプリケーションサーバ技術を利用した製品であること。オープンソースの例としては、Apache WebサーバのTomcatやJBossアプリケーションサーバなどがある。
O,Oracle DB2 MySqlやHSQLのようなデータベース管理システムを、本製品と統合する必要がある。
LF,本製品のルック・アンド・フィールは、ロゴやブランディング、アイデンティティなど、顧客の組織の観点を、取り入れることができるものでなければならない。
LF,本製品は、保守的でプロフェッショナルな外観を持つこと。
US,本製品は、顧客が使いたくなるような製品であること。調査対象となったユーザの80％が、発売後2週間後に製品を定期的に使用していると報告していること。
US,本製品は簡単に使用できること。90%のユーザが、製品使用後5分以内に会議室の予約に成功すること。
US,本製品は、必要に応じてユーザにフィードバックをしなければならない。調査対象となったユーザの80％が、本製品がユーザの行動を正確に確認していると回答すること。
US,本製品では、ユーザがターゲット市場の国の一つから選択した言語を選択できること。
US,本製品では、スタートページやビューの設定をカスタマイズできること。
US,従業員は、数分で本製品を使いこなすことができること。本製品において、製品の使用の15分以内で、ユーザは会議の定や会議室の予約ができるようになること。
US,本製品では、多くのウェブユーザに、親和性の高い、標準的なナビゲーションメニューを使用すること。
US,本製品では、利用可能な会議室を直感的に検索できること。
US,本製品は、米国障害者法に準拠した製品であること。
PE,本製品において、ユーザの思考の流れを妨げない程度の速さで応答すること。90%のタスクが5秒以内に完了すること。98%のタスクが8秒以内に完了すること。
A,サーバーの故障を除いて、ソフトウェア製品は99.99%の連続稼働時間を達成するものとする。
FT,本製品は、製品内で発生した問題の例外ログを作成し、分析と解決のために当社に送信すること。
SC,"本製品は、最大で1,000件の同時リクエストに対応できること。この数は、リリース2までに2,000まで増加する予定である。この同時処理能力は、早朝や午後の遅い時間帯など、スケジューリングのピーク時にも対応できるものでなければならない。"
SC,本製品は、発売から2年以内に1時間あたり10000件のトランザクションを処理できるものとする。この値は、リリース2までに20000に増加させること。
SC,本製品は、顧客のインストールごとに少なくとも5年間動作すること。
O,本製品は、オフィス環境で使用される必要がある。
O,本製品は、任意のHTMLブラウザでインタフェースを備える必要がある。本製品は、ユーザと製品の間で問題なくデータを送信が可能なこと。本製品は、テストされたすべてのHTMLブラウザの80％（最低でも8つのブラウザ）でHTMLを正しく表示する必要がある。
O,本製品は、様々なデータベース管理システムへのインターフェースを備えること。本製品は、すべてのトランザクションの100％において、データベース管理システムと正常に通信できなければならない。
O,本製品は、様々なメールサーバとのインタフェースを備えること。本製品は、電子メールを送信できること。
O,本製品は、バイナリーファイルまたはZIPファイルとしてインターネット経由で配布可能であること。
O,本製品は、パッケージCDとして配布可能であること。
O,本製品は、1サーバ、2-5サーバ、5サーバ以上のライセンスとして提供されること。
US,新規ユーザが10分以内にシステムに追加できなければならない。新規ユーザの90％が10分以内にシステムにログインできていること。
MN,本製品は、デザインパターンとコーディングのベストプラクティスを用いて設計されている必要がある。メンテナンスソフトウェア開発者の90％は、2営業日で新機能を製品に統合すること。
MN,本製品は、エンドユーザが様々なデータベース管理システムで使用できるように、高度な設定が可能な製品であること。80%のエンドユーザが、製品のソフトウェアコードを変更することなく、新しいデータベース管理システムを製品に統合することができること。
MN,メンテナンスリリースは、年に一度、顧客に提供されること。本リリースは、顧客の80％が5分以内にインストールできること。
US,すべての登録ユーザーは、インターネットを通じて製品サポートサイトにアクセスできること。登録ユーザの70％は、サポートサイトを利用してから5分以内に問題の解決策を見つけることができること。
MN,顧客は、製品のライフサイクルを通じて、新しい間取り図を製品に容易に統合できること。新しい間取り図を製品に統合することは、製品サポートスタッフのサポートをほとんど受けずに可能であること。
US,本製品は、将来のリリースにおいて、ターゲット市場の国の言語以外の外国語に翻訳されること。新しいターゲット市場ごとに、その市場の言語用に製品を設定するのに5日以上かからないこと。
O,本製品は、複数のデータベース管理システムとの統合を想定している。本製品は、Oracle SQL Server DB2 MySQL HSQLおよびMS Accessで動作すること。
O,本製品は、2日以内にあらゆる動作環境に設置可能であること。
SE,本製品は、会社の従業員または会社が承認したユーザーIDを持つ外部ユーザのみが製品にアクセスできることを保証するものとする。すべてのログオンは、会社の従業員または会社が承認したユーザIDを持つ外部ユーザによって100％行われること。
SE,管理者のみが、ユーザによる予約の検索クエリを実行できること。ユーザによる予約の検索クエリは、100%管理者のみのログオンから行うこと。
SE,本製品は、データベースのデータが、ユーザが入力したデータと一致することを保証するものである。システム内の各会議室の予約には、ユーザが入力したものと同じ情報が含まれること。
SE,本製品は、悪意のあるデータの入力を防止します。悪意のあるデータが入力されても、本製品や隣接するハードウェア、ソフトウェアシステムのデータが100%破壊されないこと。
FT,悪意のあるデータが入力されても、本製品および／または依存するデータベース／ファイルシステムが稼働し続けること。本製品および／または依存するデータベース／ファイルシステムは、悪意のあるデータが製品に入力されても、100％クラッシュしないこと。
SE,本製品は、新たな脅威が出現した際に、ソフトウェアの自動アップデートを受信する機能を有すること。100%のお客様が、インストールされた製品に送信されるソフトウェアの自動アップデートを受信できること。
SC,製品の言語は、ターゲット市場のすべての国に対応していること。各ターゲット市場国の調査回答者の90％が、製品の言語が受け入れ可能であると判断する。
US,本製品は、ユーザのロケールに応じてカレンダーの日付と時刻を表示できること。各ターゲット市場の国の調査回答者の90％が、製品の日付と時間のフォーマットが正しいと回答すること。
O,本製品は、J2SE/J2EEのプログラミング言語ライブラリで開発されること。
F,本製品は、会議のエントリーを記録すること。
F,本製品は、会議の招待状を従業員に通知すること。
F,本製品は、会議のリマインダを従業員に送信する機能を有すること。
F,本製品は、作成した各会議に主催者の連絡先を割り当てるものする。
F,本製品は、会議の謝辞を記録すること。
F,本製品は、新しい会議室を保管すること。
F,本製品は、既存の会議室を更新する。
F,本製品では、会議室を削除することができること。
F,本製品は、新しい会議室の機器を収納できること。
F,本製品は、既存の会議室の設備を更新すること。
F,本製品は、新規の会議室の設備を削除できること。
F,本製品は、オーガナイザが他の従業員を会議に招待できること。
F,会議室が予約されるたびに、会議室スケジュールが更新され、予約された日時が反映されるものとする。
F,本製品では、予約した機器の輸送状況を記録しなければならない。
F,本製品では、会議室の位置を示す社屋の地図を表示ものとする。
F,本製品は、更新された会議のアジェンダを記録すること。
F,本製品は、会議の主催者に会議の確認を送付すること。
F,本製品では、検索パラメータに応じて会議室の備品を表示すること。
F,本製品は、検索パラメータに応じて会議室を表示すること。
F,本製品は、さまざまなミーティングのタイプを記録すること。
F,本製品には、予約されたすべての備品が記録されていること。
F,本製品は、備品の輸送要求を、建物の担当者に通知するものとする。
F,この製品では、権限のあるユーザが複数のレポートのビューで会議のスケジュールを確認できること。
F,本製品は、エンドユーザが指定したさまざまな方法で、会議の通知を送信できること。
F,本製品は、カスタマイズ可能なルックアンドフィールを備えること。
F,本製品は、直感的なユーザインタフェースを備えること。
F,本製品では、予約されていない会議室の空き状況を表示すること。
PE,過去30日間の在庫数量調整の再作成には、30分以内で行うこと。
PE,本システムでは、最低6人のユーザが同時に作業できること。
O,本システムでは、現在所有している、既存のコンピュータ機器を使用すること。
O,本システムは、業務データを自動的にバックアップし、必要に応じて復元することができること。
SE,本システムは、一貫したセキュリティを維持するものとする。ユーザのパスワードや権限を変更した場合は、システムのすべての部分に変更を与えること。
SE,本システムは、すべての主要サブシステムに対するアクセス権をきめ細かく制御すること。すべてのサブシステムに独立してアクセス権を割り当てることが可能であること。
L,本システムは、適用されるすべての会計基準を満たしていること。本システムの最終版は、認証された監査者による独立した監査に合格しなければならない。
O,本システムでは、ロイヤリティを伴う第三者のライセンスを必要としないこと。
F,本システムでは、必要に応じて、在庫量調整文書を作成することができること。
F,本システムでは、ある時点以降のすべての在庫量調整文書を、オンデマンドで作成できること。
F,IQAサブシステムは、現在の在庫状況を考慮し、それに応じて代替成分の在庫を調整しなければならない。
F,本システムでは、製品の処方を入力し、保存、変更することができること。
F,本製品の処方は、独自の処方を持つ半製品の使用を認めること。
F,製品の配合成分は、置換可能な成分を定義できること。
F,製品配合の代替成分は、PFEサブシステムにより自動的に入力されること。
F,製品配合の代替成分は、永続的な順序で維持されること。
F,本製品は、POS端末が使用する製品メニューの保存および変更を入力できること。
F,PMEサブシステムは、会計システムに保持されている製品のリストに基づいて製品メニューを構築できるようにすること
F,PMEサブシステムは、メニュー内のサブメニューとサブメニュー内の製品を、管理された永続的な順序で維持できるようにすること。
F,PMEサブシステムは、製品が複数のサブメニューに存在できるようにすること。
