label,feature
SE,適用基準: Dr Susan PoslusnyとKaren Sysolのみが、CampusConnectとのインターフェイスとなるシステムの最終的なクラスセクションのスケジューリングにアクセスできること。
SE,本システムは、誤ったデータや無効なデータが混入する可能性を低減するために、基本的なデータ整合性チェックを行うこと。
SE,本システムは、組織の情報ポリシーに基づいて個人情報を保護すること。
SE,本システムは、悪意のある干渉から可能な限り安全であるように構築されなければならない。
SE,本システムは、組織の標準的なウイルス保護ソフトウェアを使用して、自身への脅威を監視すること。
F,1つのコーホートには、学科が提供する1つの研究プログラムに関連付けられるものとする。
F,プログラム管理者と看護スタッフは、学生のリストをコーホートに追加できること。
F,プログラム管理者と看護スタッフは、1人の学生をコーホートに追加できること。
F,コーホートに追加された学生は、そのコーホート研究プログラムの受講資格を得るものとする。
F,プログラム管理者および看護スタッフは、特定のコーホートのクラスの望ましい順序を指定できるものとする。
F,コーホートのシーケンス内の各クラスについて、プログラム管理者と看護スタッフは、そのクラスがどの四半期に提供されるかを指定できるものとする。
F,コーホートのシーケンス内の各クラスについて、プログラム管理者と看護スタッフは、そのクラスがどの四半期に提供されるかを指定できるものとする。
F,プログラム管理者と看護スタッフは、一連のクラスに新しいクラスを追加することができること。
F,プログラム管理者および看護スタッフは、一連の授業に臨床クラスまたはセクションを追加できること。
F,プログラム管理者と看護スタッフは、開始月と年を指定して新しいコーホートをシステムに追加できること。
F,プログラム管理者と看護スタッフは、看護部門の新しいクラスをシステムに追加できること。
F,クラスは、非臨床クラスまたは臨床クラスのいずれかとする。
F,非臨床のクラスは、コース名、講義室の要求と講師のニーズを明記する。
F,臨床授業では、コース名、講義室の要求、臨床現場のニーズ、講義担当者のニーズ、臨床検査担当者のニーズを明記する。
F,プログラム管理者／看護スタッフは、新しいProgram of Studyを作成できること。
F,Program of Study（学習プログラム）は、プログラム名と、修了しなければならない必須科目（臨床および非臨床の両方）のリストで構成される。
F,プログラム管理者および看護スタッフは、学習プログラムに必要なクラスを指定することができる。
F,本システムは、プログラム管理者／看護スタッフの計画立案のために、すべてのプログラムのすべてのコーホートについて、特定の四半期に必要なクラスのレポートを表示できること。
F,必要なクラスの報告には、提供されるクラス、必要なセクション数、必要なラボ数、必要な部屋の種類などが含まれる（ただし、これらに限定されない）。
F,あるコーホートのクラスは、提供される時間帯や曜日が重複してはならない。
F,プログラム管理者と看護スタッフは、新しい臨床現場をシステムに追加できること。
F,臨床現場の情報には、現場の連絡担当者の名前と連絡先が含まれる（ただし、これに限定されない）。
F,プログラム管理者および看護スタッフは、既存の臨床クラスに新しい臨床ラボセクションをシステムに追加できるものとする。
F,臨床実習の欄には、臨床現場名、授業担当者、実習日時が記載される。
F,プログラム管理者および看護スタッフは、臨床クラスに登録した学生を、そのクラスの臨床実習セクションに追加できるものとする。
F,本システムでは、プログラム管理者または看護スタッフが、学生を臨床実習セクションから除外ができること。
F,本システムでは、プログラム管理者／看護スタッフが、ある臨床検査セクションから同じ臨床クラスに対応する別の臨床検査セクションに学生を移動させることができること。
F,プログラム管理者・看護職員は、臨床実習の登録者がいない場合に限り、臨床実習を中止することができるものとする。
F,プログラム管理者／看護スタッフが、新しい看護学生をシステムに追加できること。
F,スタッフは、パートタイムの学生の進捗状況を管理する能力を有していなければならない。これには、クラスの順序やタイムラインの変更が含まれる。
F,本システムは、個々のコホートの印刷可能なサマリーを表示できるものとする。このサマリーには、入学した学生、学習プログラムの授業の流れ、プログラムを通じたコホートの進捗状況、修了のタイムラインが含まれる。
F,本システムは、個々の臨床施設の印刷可能なサマリを表示することができる。このサマリには、所定の四半期にその臨床施設で実施されたラボに関する情報（その場所で実施されたラボに関する臨床施設の一般的な情報、そこで行われたすべてのラボの日付と時間）が含まれる。
F,本システムは、個々の臨床検査の印刷可能なサマリを表示することができるものとする。このサマリには、クラス名、クラス番号、ラボセクションのリスト、登録されたインストラクターの曜日と場所が含まれる（ただし、これらに限定されない）。
F,本システムは、個々の看護学生の印刷可能なサマリを表示することができる。このサマリには、学生名、学生ID、入学日、授業科目、単位数、GPA、および学生が在籍するコホートが含まれる（ただし、これらに限定されない）。
F,本システムは、印刷可能なシステムログの概要を表示できること。
F,本システムには、スタッフ、学生、講義担当者、臨床検査担当者、臨床現場管理者など、本システムに関連するすべての人の連絡先（電子メールおよび電話番号）が記載されていること。
F,本システムでは、保存されている電子メールアドレスを、影響を受ける当事者に情報を伝達する主要な手段として使用すること。
F,本システムは、学生に今後提供されるクラス（タイムライン）やスケジュールを知らせるなど、日常的なコミュニケーションを目的として、影響を受ける当事者に通知すること。
F,本システムは、臨床セクションの定員変更や臨床セクションのキャンセルなど、臨床に影響を与える変更が発生した場合、関係者に通知すること。
F,本システムでは、クラスのキャンセル、クラスセクションの詳細の変更、特定の四半期のクラス提供の変更など、クラスに影響を与える変更が発生すると、関係者に通知すること。
F,本システムは、コーホートに影響を与える変更が発生した場合、関係者に通知すること。これには、コーホートの学習プログラムの順序の変更や、特定の週のスケジュールの変更（講師の病気のため今週のラボはキャンセル）などが含まれること。
F,本システムは、学生のステータスをフルタイムからパートタイムに変更したり、学生を別の臨床セクションに移動させるなど、特定の学生に影響を与える変更が発生した場合に、関係者に通知すること。
F,プログラム管理者／看護スタッフは、コーホートの識別子、プログラム・オブ・スタディー、希望するクラスの順序、コーホートが特定のクラスを受講する四半期を含む、コーホートに関する情報を修正する機能を有するものとする。
F,プログラム管理者／看護職員は、看護部内の学習プログラムに関連する情報（学習プログラム名、学習プログラムに必要なクラスなど）を変更する機能を有すること。
F,プログラム管理者／看護スタッフは、臨床現場名、臨床現場担当者の連絡先、住所など、臨床現場に関連する情報を修正する機能を有すること。
F,プログラム管理者／看護スタッフは、臨床現場名、実習担当部署／セクション、授業担当者、実習日時、連絡先など、クリニカル・ラボ・セクションに関連する情報を修正する機能を有すること。
F,プログラム管理者／看護スタッフは、学生ID、学生名、電話番号、電子メール、ステータス（フルタイムまたはパートタイム）、学習プログラムなど、看護学生に関する情報を変更する機能を有すること。
