label,feature
SE,1.0,本システムは、誤ったデータや無効なデータが混入する可能性を低減するために、基本的なデータ整合性チェックを行うこと。
SE,1.0,本システムは、組織の情報ポリシーに基づいて個人情報を保護すること。
SE,0.0,本システムは、悪意のある干渉から可能な限り安全であるように構築されなければならない。
SE,0.0,本システムは、組織の標準的なウイルス保護ソフトウェアを使用して、自身への脅威を監視すること。
LF,0.0,本アプリケーションは、内部および外部で使用されるアプリケーションのユーザインタフェース作成のための企業標準に準拠しなければならない。　
LF,0.0,本アプリケーションの一部として作成されたすべての画面は、インターフェイス作成に関する企業の標準に準拠する必要がある。
US,0.0,本アプリケーションにおいて検索を実行した後に表示される異議申し立てのリストは、異議申し立ての案件を容易に識別できるように色分けされている必要がある。
US,0.0,2日間のトレーニングコースを受けた後、カード会員および加盟店サービス担当者の100％が、異議申し立て管理アプリケーションを定期的に使用できるようになること。
US,0.0,カード会員サービス担当者の100%が、トレーニングコース完了後の初めての段階で異議申し立て案件の作成に成功できること。
US,0.0,加盟店のサービス担当者の100％が、トレーニングコース完了後の最初の段階で異議申し立て案件に対するフォローアップアクションを成功できること。
PE,0.0,本アプリケーション内でユーザが1つの画面から別の画面に移動するための最大待機時間は、5秒以内とする。
PE,0.0,本アプリケーションは、アプリケーションのパフォーマンスを低下させることなく、350人の同時ユーザをサポートしなければならない。
O,0.0,本アプリケーションは、次の定期メンテナンス期間を除いて、24時間365日無休で利用できなければならない。月曜日土曜日3:00 amから4:00 amEST日曜日1:00 amdから5:00 am EST
O,0.0,本アプリケーションは、ステートメント・データベースと整合性をとらなければならない。ステートメント・データベースは、取引の詳細を異議申し立て管理システムに提供する。すべてのトランザクションの詳細は、ステートメントデータベースから取得する必要がある。
O,0.0,本アプリケーションは、カード会員情報データベースと連携しなければならない。カード会員情報データベースは、カード会員に関する詳細情報を提供しする。すべてのカード会員の詳細情報は、カード会員情報データベースから取得する必要がある。
O,0.0,本アプリケーションは、加盟店情報データベースと整合させなければならない。加盟店情報データベースは、加盟店に関する詳細情報を提供する。すべての加盟店詳細情報は、加盟店情報データベースから取得しなければならない。
O,0.0,本アプリケーションは、Lettersアプリケーションと連動しなければならない。これにより、異議申し立て申請は、異議申し立ての開始及び異議申し立てのフォローアッププロセスの一環として書類を要求することができる。すべての書類リクエストは、Print Letter Utility アプリケーションに送信する必要がある。
O,0.0,本アプリケーションは、カード会員の明細および請求システムと連動しなければならない。これにより、異議申し立て管理アプリケーションはカード会員と加盟店のアカウントの支払い情報の修正を要求することができる。すべての加盟店の情報修正リクエストは、カード会員の明細および請求システムに送信する必要がある。
SE,1.0,本アプリケーションは、適切なアクセスレベルを持つユーザのみが異議申し立てリクエストを開始できるようにしなければならない。
SE,1.0,本アプリケーションは、更新アクセス権を持つユーザのみが異議申し立てリクエストを作成することができる。
SE,1.0,本アプリケーションは、許可されたユーザのみがアプリケーションにログオンできるようにしなければならない。
SE,1.0,本アプリケーションは、認証されたすべてのユーザは一度認証されれば異議申し立て管理システムにログオンできなければならない。
SE,1.0,本アプリケーションは、追加された新しいユーザと既存のユーザーのアクセスレベルへの変更を詳述するユーザーレポートを生成しなければならない。レポートは監査目的でレビューされる。
SE,1.0,本アプリケーションにおいて、新規ユーザの追加およびユーザアクセスの変更はすべて、ユーザレポートに記録されなければならない。
SE,1.0,本アプリケーションにおいて、ユーザアカウントが取り消された場合、システム管理者のみが再インスタンス化できるものとする。
SE,1.0,本アプリケーションにおいて、取り消されたユーザログオンアカウントをリセットできるのは、システム管理者のみでなければならない。
SE,1.0,本アプリケーションは、ビジネスデータを操作および表示するものとする。ユーザはデータファイルやデータベースに直接アクセスできないものとする。
SE,1.0,本アプリケーションにおいて、データファイルまたはデータベースのすべての更新は、異議申し立て管理システムから行う必要がある。
L,0.0,本アプリケーションにおいて、異議申立書は、加盟店運営規定で指定されている法的要因に準拠しなければならない。
L,0.0,本システムで指定されているすべてのビジネスルールは、加盟店運営規定に準拠しなければならない。
L,0.0,本アプリケーションは、クレジットカードの異議申し立て処理を管理する規定Eおよび規定Zで指定された法的要因に準拠しなければならない。
L,0.0,本システムで指定されているすべてのビジネスルールは、加盟店運営規定に準拠するものとする。
L,0.0,本アプリケーションは、ユーザが異議申し立て案件に対して実行するすべてのアクションの詳細な履歴を保持する必要がある。これにより、後に特定の異議申し立て案件に関して質問事項が生じた場合、完全な監査証跡が確保される。
L,0.0,本アプリケーションにおいて、既存の異議申し立て案件を修正するすべての行動は、案件履歴に記録されなければならない。
O,0.0,本製品は、Internet Explorer 5.5以上に対応すること。
O,0.0,本製品はMozilla Firefox 1.0以上に対応すること。
O,0.0,本製品は、Choice Parts Systemとの整合性を保つこと。これにより、リサイクルパーツのデータのfeed情報を提供すること。
O,0.0,本製品は、すべての環境の既存のハードウェア上で動作すること。
O,0.0,本製品は、企業のアーキテクチャガイドラインに準拠すること。
LF,0.0,本製品は、企業のユーザインタフェースガイドラインに準拠すること。
LF,0.0,本製品は、企業のカラースキームに準拠すること。
LF,0.0,本製品の外観は、プロフェッショナルであること。
US,0.0,本製品は、アジャスターと修理費見積もり担当者によって使いやすいものでなければならない。アジャスターと修理費見積もり担当者の95％は、製品が使いやすいと感じるようにすること。
US,0.0,本製品を使用することで、修理費見積もり担当者の生産性が向上すること。本製品を使用してから1ヶ月以内に、80％の修理費見積もり担当者が生産性が向上したと同意すること。
US,0.0,ユーザが本製品を使用して満足を感じること。全体の85％のユーザが、本製品に満足すること。
US,0.0,本製品は、アジャスターと修理費見積もり担当者が容易に習得できるものであること。本製品は、2日間のオンサイトトレーニングで習得できるものであること。
US,0.0,ユーザは、本製品の使用中に、説明書を容易に見つけることができること。ユーザ向けのヘルプは、システムの90％の範囲内で見つけられること。
PE,0.0,リサイクル部品の検索は15秒以内であること。検索結果が15秒以内に返ってくること。
PE,0.0,優先修理施設の検索は8秒以内に行うこと。8秒以内に、優先修理施設が返されること。
PE,0.0,リサイクル部品の監査報告は、10秒以内にユーザに返却されること。監査報告書は10秒以内に返却されること。
PE,0.0,優先修理施設の評価は5秒以内に保存されること。保存は5秒以内に行われるものとする。
A,0.0,本製品は、企業のオンライン可用性スケジュールを遵守すること。本アプリケーションは、可用性スケジュールに基づいて予定された停止時間の98％以内でのみ停止される。
A,0.0,本製品は、98%のuptime（稼働時間）を達成すること。本製品は、利用可能なオンライン時間の2％を超えて故障しないこと。
SC,0.0,本製品は、最大1500人の同時ユーザを扱える製品であること。本製品は、一度に1500人のユーザでパフォーマンスを発揮すること。
SC,0.0,"1日あたりのリサイクル部品記録数は、平均50,000個とする。"
SC,0.0,"本製品は、最初の発売から2年以内に、10,000人の同時使用ユーザを扱えること。"
O,0.0,修理工場の汚れや騒音の中において、見積もり担当者は、本製品を操作できること。
O,0.0,本製品は、1日1回、午前1時頃にChoicePartsシステムと整合性をとること。
O,0.0,本製品のメンテナンスは、企業が定めたメンテナンスウィンドウの範囲内で行われること。
O,0.0,本製品は、コーポレートサポートセンターを利用してサポートを受けることができること。
O,0.0,本製品のインストールとアップグレードは、定められた発売期間内に、ミドルウェア技術チームが行うこと。
SE,1.0,アジャスターのみがリサイクルパーツ監査レポートを要求する権限を持つこと。アジャスターの役割を持たないユーザは、リサイクルパーツの監査を要求することはできない。
SE,1.0,管理者の役割をもつアジャスターのみが優先修理施設の格付けを更新できること。管理者の役割を持たないユーザは、修理施設の評価にアクセスできない。
SE,1.0,修理費見積もり担当者のみがリサイクル部品の検索を行うものとする。修理費見積もり担当者の役割を持たないユーザは、リサイクル部品の検索にアクセスしてはならない。
SE,0.0,有効なデータのみをシステムに入力すること。無効なデータを入力してはならない。
SE,1.0,ある保険会社が他の保険会社の請求データを閲覧することはできない。
SE,0.0,本製品には、コンピュータウイルスが混入しないこと。
SE,0.0,本システムは、サービス妨害を含む悪意のある攻撃を防ぐことができること。
L,0.0,本製品は、Sarbanes-Oxley法に準拠していること。
L,0.0,本製品は、再生部品の使用に関する推定法に準拠していること。
L,0.0,本製品は、保険金請求処理に関する保険規制に準拠していること。
O,0.0,本製品は、市販されているほとんどのデータベース管理システム（DBMS）に対応しており、DBMSが本製品と同じマシンに設置されていても、コンピュータネットワーク上の別のマシンに設置されていても動作すること。
O,0.0,本製品は、JavaランタイムがインストールできるすべてのOS上で、サーバーソフトウェアと一緒に機能すること。
O,0.0,本製品は、データベース管理システム（DBMS）との連携が必要である。DBMSは、製品と同じマシン上にあっても、同じコンピュータネットワーク上にある別のマシン上にあっても動作すること。
O,0.0,本製品は、Web/アプリケーションサーバ技術を利用した製品であること。オープンソースの例としては、Apache WebサーバのTomcatやJBossアプリケーションサーバなどがある。
O,0.0,Oracle DB2 MySqlやHSQLのようなデータベース管理システムを、本製品と統合する必要がある。
LF,0.0,本製品のルック・アンド・フィールは、ロゴやブランディング、アイデンティティなど、顧客の組織の観点を、取り入れることができるものでなければならない。
LF,0.0,本製品は、保守的でプロフェッショナルな外観を持つこと。
US,0.0,本製品は、顧客が使いたくなるような製品であること。調査対象となったユーザの80％が、発売後2週間後に製品を定期的に使用していると報告していること。
US,0.0,本製品は簡単に使用できること。90%のユーザが、製品使用後5分以内に会議室の予約に成功すること。
US,0.0,本製品は、必要に応じてユーザにフィードバックをしなければならない。調査対象となったユーザの80％が、本製品がユーザの行動を正確に確認していると回答すること。
US,0.0,本製品では、ユーザがターゲット市場の国の一つから選択した言語を選択できること。
US,0.0,本製品では、スタートページやビューの設定をカスタマイズできること。
US,0.0,従業員は、数分で本製品を使いこなすことができること。本製品において、製品の使用の15分以内で、ユーザは会議の定や会議室の予約ができるようになること。
US,0.0,本製品では、多くのウェブユーザに、親和性の高い、標準的なナビゲーションメニューを使用すること。
US,0.0,本製品では、利用可能な会議室を直感的に検索できること。
US,0.0,本製品は、米国障害者法に準拠した製品であること。
PE,0.0,本製品において、ユーザの思考の流れを妨げない程度の速さで応答すること。90%のタスクが5秒以内に完了すること。98%のタスクが8秒以内に完了すること。
A,0.0,サーバーの故障を除いて、ソフトウェア製品は99.99%の連続稼働時間を達成するものとする。
FT,0.0,本製品は、製品内で発生した問題の例外ログを作成し、分析と解決のために当社に送信すること。
SC,0.0,"本製品は、最大で1,000件の同時リクエストに対応できること。この数は、リリース2までに2,000まで増加する予定である。この同時処理能力は、早朝や午後の遅い時間帯など、スケジューリングのピーク時にも対応できるものでなければならない。"
SC,0.0,本製品は、発売から2年以内に1時間あたり10000件のトランザクションを処理できるものとする。この値は、リリース2までに20000に増加させること。
SC,0.0,本製品は、顧客のインストールごとに少なくとも5年間動作すること。
O,0.0,本製品は、オフィス環境で使用される必要がある。
O,0.0,本製品は、任意のHTMLブラウザでインタフェースを備える必要がある。本製品は、ユーザと製品の間で問題なくデータを送信が可能なこと。本製品は、テストされたすべてのHTMLブラウザの80％（最低でも8つのブラウザ）でHTMLを正しく表示する必要がある。
O,0.0,本製品は、様々なデータベース管理システムへのインターフェースを備えること。本製品は、すべてのトランザクションの100％において、データベース管理システムと正常に通信できなければならない。
O,0.0,本製品は、様々なメールサーバとのインタフェースを備えること。本製品は、電子メールを送信できること。
O,0.0,本製品は、バイナリーファイルまたはZIPファイルとしてインターネット経由で配布可能であること。
O,0.0,本製品は、パッケージCDとして配布可能であること。
O,0.0,本製品は、1サーバ、2-5サーバ、5サーバ以上のライセンスとして提供されること。
US,0.0,新規ユーザが10分以内にシステムに追加できなければならない。新規ユーザの90％が10分以内にシステムにログインできていること。
MN,0.0,本製品は、デザインパターンとコーディングのベストプラクティスを用いて設計されている必要がある。メンテナンスソフトウェア開発者の90％は、2営業日で新機能を製品に統合すること。
MN,0.0,本製品は、エンドユーザが様々なデータベース管理システムで使用できるように、高度な設定が可能な製品であること。80%のエンドユーザが、製品のソフトウェアコードを変更することなく、新しいデータベース管理システムを製品に統合することができること。
MN,0.0,メンテナンスリリースは、年に一度、顧客に提供されること。本リリースは、顧客の80％が5分以内にインストールできること。
US,0.0,すべての登録ユーザーは、インターネットを通じて製品サポートサイトにアクセスできること。登録ユーザの70％は、サポートサイトを利用してから5分以内に問題の解決策を見つけることができること。
MN,0.0,顧客は、製品のライフサイクルを通じて、新しい間取り図を製品に容易に統合できること。新しい間取り図を製品に統合することは、製品サポートスタッフのサポートをほとんど受けずに可能であること。
US,0.0,本製品は、将来のリリースにおいて、ターゲット市場の国の言語以外の外国語に翻訳されること。新しいターゲット市場ごとに、その市場の言語用に製品を設定するのに5日以上かからないこと。
O,0.0,本製品は、複数のデータベース管理システムとの統合を想定している。本製品は、Oracle SQL Server DB2 MySQL HSQLおよびMS Accessで動作すること。
O,0.0,本製品は、2日以内にあらゆる動作環境に設置可能であること。
SE,1.0,本製品は、会社の従業員または会社が承認したユーザーIDを持つ外部ユーザのみが製品にアクセスできることを保証するものとする。すべてのログオンは、会社の従業員または会社が承認したユーザIDを持つ外部ユーザによって100％行われること。
SE,1.0,管理者のみが、ユーザによる予約の検索クエリを実行できること。ユーザによる予約の検索クエリは、100%管理者のみのログオンから行うこと。
SE,0.0,本製品は、データベースのデータが、ユーザが入力したデータと一致することを保証するものである。システム内の各会議室の予約には、ユーザが入力したものと同じ情報が含まれること。
SE,0.0,本製品は、悪意のあるデータの入力を防止します。悪意のあるデータが入力されても、本製品や隣接するハードウェア、ソフトウェアシステムのデータが100%破壊されないこと。
FT,0.0,悪意のあるデータが入力されても、本製品および／または依存するデータベース／ファイルシステムが稼働し続けること。本製品および／または依存するデータベース／ファイルシステムは、悪意のあるデータが製品に入力されても、100％クラッシュしないこと。
SE,0.0,本製品は、新たな脅威が出現した際に、ソフトウェアの自動アップデートを受信する機能を有すること。100%のお客様が、インストールされた製品に送信されるソフトウェアの自動アップデートを受信できること。
SC,0.0,製品の言語は、ターゲット市場のすべての国に対応していること。各ターゲット市場国の調査回答者の90％が、製品の言語が受け入れ可能であると判断する。
US,0.0,本製品は、ユーザのロケールに応じてカレンダーの日付と時刻を表示できること。各ターゲット市場の国の調査回答者の90％が、製品の日付と時間のフォーマットが正しいと回答すること。
O,0.0,本製品は、J2SE/J2EEのプログラミング言語ライブラリで開発されること。
PE,0.0,管理者は、管理画面から5秒以内にプリペイドカードを有効化できること。
PE,0.0,顧客は、PIN番号を入力することで、5秒以内にプリペイドカードの状態を確認することができること。
PE,0.0,本システムでは、5分以内にPay as you goユーザとしてウェブサイトに登録できること。
PE,0.0,本システムでは、顧客が10分以内に「映画見放題」のユーザ登録ができること。
PE,0.0,本システムでは、既存の顧客がメールアドレスとパスワードで5秒以内にログインできること。
PE,1.0,本システムは、顧客がアカウントをキャンセルできるようにし、プロセスは2分以内に終了すること。これにより、データベースはそのアカウントを非アクティブとみなし、顧客はウェブサイトにログインできなくなること。
PE,1.0,本システムは、管理者が1分以内に顧客のアカウントを無効にできること。これにより、顧客はウェブサイトにアクセスすることができなくなる。
PE,0.0,本システムは、管理者が5分以内にウェブサイト上で映画を追加、削除できること。入力された映画情報は、データベースに保存され、ウェブサイト上で公開される。
PE,0.0,本システムは、管理者が5分以内にサイト上のカテゴリーを追加・削除できること。
PE,0.0,本システムは、Izogn Managerが2分以内に売上と使用統計にアクセスできるようにすること。
PE,0.0,本システムは、管理者が2分以内に、一意のプリペイドPINを生成し、生成されたPINを使用してExcelファイルを生成できるようにすること。
LF,0.0,本ウェブサイトは、すべての視聴者にとって魅力的であること。本ウェブサイトは、楽しく見えること、色は明るく鮮やかであること。
LF,0.0,本ウェブサイトは、アフリカ的な雰囲気を備えるべきだが、アフリカ以外の人にも受け入れられるサイトにすること。サービス内容を紹介するページではアニメーションを使用し、ユーザーの興味を引き、登録を促すこと。
LF,0.0,本ウェブサイトのデザインは、モダンでクリーンで簡潔であること。
US,0.0,本製品は、インターネットの初級ユーザの90％が使用できること。
US,0.0,顧客がアカウントを作成するために必要なページ数は、最大4ページとすること。
US,0.0,顧客は、ウェブサイトにログインした後、2クリック以内でストリーミング動画に、アクセスできるようになること。
US,0.0,無記名のアンケートにより、2週間の利用で70％のお客様がストリーミング動画を安心して購入できると回答すること。
US,0.0,無記名アンケートで、95％の顧客が、システムを1か月使用した後、プリペイドカードを快適に使用および購入できることが示されること。
US,0.0,本製品は、顧客の購入の好みや情報を保持するものとする。
US,0.0,本製品は、インターネットのスキルが初級の顧客が、簡単にストリーミング動画を購入して視聴が可能であること。顧客は、事前に決められた映画を3分以内に購入して視聴できるようにする。
US,0.0,本製品は、ウェブサイトに精通しているユーザが自然に理解できるような記号や用語を使用していること。
US,0.0,本ウェブサイトでは、ユーザとのやりとりに標準的なインターネットの既約を使用する。
PE,0.0,ユーザと自動化されたシステムとの間のあらゆるインタフェースは、以下の例外で指摘されない限り、最大応答時間が5秒であること。
PE,0.0,ストリーミング動画やプリペイドカードをクレジットカードで購入する場合、処理時間は最大15秒の応答時間を必要とすること。
PE,0.0,動画をストリーミングする場合、バッファリング時間は10秒以下でなければならない（これに加えて、ユーザの接続による遅延が発生する）。
PE,0.0,ストリーミング中にバッファリングが発生するのは、ユーザの接続に遅延が発生した場合のみとする。
SE,1.0,すべてのクレジットカード情報は、サーバー上で保護され、権限のあるIzogn管理者のみがアクセスできること。情報はデータベース内で暗号化される。
A,0.0,本ウェブサイトは24時間365日利用可能であること。
A,0.0,ウェブサイトは99.5%の稼働時間を達成すること。
A,0.0,すべての動画がいつでもオンデマンドで配信されること。
FT,0.0,ストリーミングサーバーがダウンしても、本ウェブサイトは継続して運営されること。
FT,0.0,決済ゲートウェイがダウンしても、ウェブサイトは継続して運営されること。
SC,0.0,ストリーミングサーバーは、50台の同時接続に対応する。
SC,0.0,ストリーミングサーバーは、最大700本の動画に対応するが、より多くの動画に対応するために新しいサーバーを追加することができること。
SC,0.0,"本サーバーは、最大1,000人の同時接続ユーザーをサポートする。"
SC,0.0,本ウェブサイトは10万人の顧客をサポートできるものであること。
MN,0.0,本製品は、最低2年間、最大保守予算内で動作することが期待される。
O,0.0,本ウェブサイトのすべての側面は、インターネット上のウェブブラウザによってアクセスされるものとする。
O,0.0,現行のウェブサイトをサポートするのと同じハードウェアを使用して、新しいシステムを運用する。
O,0.0,以下のブラウザに対応すること。IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.
O,0.0,ウェブサイトは、クレジットカード決済を処理するために、CyberSource APIとのインタフェースを備える必要がある。
O,0.0,ウェブサイトは、MSN TV2と完全に連動している必要がある。
O,0.0,動画は、Windows Media Player 9.0でエンコードして配信すること。
O,0.0,動画は、56kおよび256kのストリーム用にエンコードされること。
MN,0.0,Webサイトのプロモーション更新は、1日で更新のこと。
PE,0.0,Izogn管理者は、ウェブサイトのカテゴリーリストを2分以内に更新できること。
PE,0.0,Izognの管理者は、2分以内に新製品をウェブサイトに追加できるること。
A,0.0,本システムは、顧客へのサポートのために24時間のフリーダイヤルを提供する。
US,0.0,本Webサイトには、一般的な問題に対する回答と解決策が記載されたヘルプセクションを提供すること。
A,0.0,Velkatのスタッフは、午前7時から午後7時まで電話サポートを利用して、Izogn管理者に技術サポートを提供する。
O,0.0,本製品は、1営業日以内に指定された環境に設置できるものとする。
SE,1.0,登録済みの顧客のみがストリーミング映画を購入できること。
SE,1.0,顧客は、映画を購入し、2日間の視聴期間内である場合にのみ、映画をストリーム再生できること。
SE,1.0,データベース内の顧客レコードにアクセスできるのは、許可された担当者のみとする。
SE,1.0,管理者のみがプリペイドカードをアクティブ化でできること。
SE,1.0,許可された担当者のみが販売情報にアクセスでること。
SE,1.0,本ウェブサイトは、誤ったデータが入力された場合にそのデータが破損するの防止すること。
SE,1.0,本ウェブサイトは意図的な悪用から身を守り、あらゆる場合に管理者に通知すること。
SE,1.0,データベースの完全性を検証するために、データ完全性スクリプトが毎週実行される。
SE,1.0,本ウェブサイトは、個人情報を収集する前に、本ウェブサイトのすべてのページでアクセス可能なプライバシーポリシーにより、その情報取扱方法をユーザーに周知するものとする。
SE,1.0,本システムは、情報ポリシーの変更を顧客に通知すること。
SE,1.0,本システムは、組織の情報ポリシーに準拠する場合にのみ個人情報を開示するものとする。
SE,1.0,すべての顧客情報は、許可された担当者のみがアクセスできる安全なデータベースに保存されること。
SE,1.0,すべてのクレジットカード情報はデータベースで暗号化すること。
SE,1.0,ストリーミングサーバーには、悪意のあるウイルスの感染を防ぐためのウイルス対策ソフトウェアを搭載すること。
LF,0.0,ウェブサイトはナイジェリアのすべての部族に対応する必要がある。
LF,0.0,ウェブサイトは、宗教的または民族的グループに不快感を与えるものであってはならない。
LF,0.0,本ウェブサイトは、ナイジェリア人だけでなく、すべてのアフリカ人にアピールする必要がある。
O,0.0,Webサイトは、ホームページにアニメーションを提供するためにFlashを使用しなければならない。
L,0.0,IzognMoviesは、アフリカの映画をストリーミングするために、適切な組織によって定められたライセンス条項を満たすものとする。
L,0.0,WebサイトはW3C標準に準拠すること。
L,0.0,PHPコードはPEAR標準に準拠すること。
PE,0.0,合計リードサイクルタイムは、営業時間内（米国中部標準時の午前8時から午後8時まで）にリードボリュームの90％を占める場合は5分、営業時間外にリードボリュームの99％を占める場合は3分で完了しなければならない。
PE,0.0,処理されたリードタイムの97％において、25秒以上の時間でリードタイムの評価が完了することはない。
PE,0.0,25秒以上経過したリードタイムの場合、本システムはそのイベントと時間を記録する。
PE,0.0,本プロセスは、全ライフサイクルのうちリードタイムが3分以内に割り当てられる自動担当者割り当てプロセスで定められた処理時間の条件に適合する必要がある。
O,0.0,リード洗浄プロセスは、確立された物理的なウェブサービス構造ないで動作する。
O,0.0,洗浄プロセスでは、リードデータを受信して処理する際に、xmlのような拘束力のない中立的なデータフォーマットを使用する必要がある。
A,0.0,欠陥レポートは、24時間365日、技術部門が利用できる。
MN,0.0,洗浄パラメータは、定期メンテナンス時間中に更新される。
LF,0.0,本製品は、海上の船舶の様子を再現すること。
LF,0.0,本製品では、潜望鏡からビューとして、円内のグリッドを表示すること。
LF,0.0,本製品では、特定の船種の画像を用いて、各船種をグリッドに表示すること。
LF,0.0,攻撃側のプレーヤーがシュートを打つとき、本製品は海に浮かぶ船の音を再現すること。
LF,0.0,ショットが失敗と判定された場合、本製品は、ショットがターゲットを外れたときの音を再現すること。
